periódicos, scielo_url, publicador, status
"ACIMED", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1024-9435&lng=en", "Centro Nacional de Información de Ciencias Médicas", "deceased"
"Acta de investigación psicológica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-4832&lng=en", "Universidad Nacional Autónoma de México, Facultad de Psicología", "suspended"
"Acta Odontológica Venezolana", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0001-6365&lng=en", "Facultad de Odontología -UCV", "suspended"
"Acta Pediátrica Costarricense", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-0090&lng=en", "Asociación Costarricense de Pediatría", "suspended"
"Acta universitaria", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-6266&lng=en", "Universidad de Guanajuato, Dirección de Investigación y Posgrado", "suspended"
"Actas Odontológicas", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=2393-6304&lng=en", "Facultad de Odontología - Universidad Católica del Uruguay.", "deceased"
"Actas Urológicas Españolas", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0210-4806&lng=en", "Asociación Española de Urología", "suspended"
"Adolescencia y Salud", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-4185&lng=en", "Caja Costarricense de Seguro Social. Programa Atención Integral del Adolescente", "deceased"
"African Natural History", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2305-7963&lng=en", "Iziko Museum of South Africa", "deceased"
"Afro-Ásia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0002-0591&lng=en", "Universidade Federal da Bahia", "suspended"
"Agricultura Técnica", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0365-2807&lng=en", "Instituto de Investigaciones Agropecuarias, INIA", "deceased"
"Agricultura técnica en México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0568-2517&lng=en", "Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias", "deceased"
"Agroalimentaria", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1316-0354&lng=en", "Centro de Investiagciones Agroalimentarias (CIAAL), Facultad de Ciencias Económicas y Sociales, Universidad de los Andes", "suspended"
"Agrociencia", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-3195&lng=en", "Colegio de Postgraduados", "suspended"
"Ameghiniana", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0002-7014&lng=en", "Asociación Paleontológica Argentina", "deceased"
"Anais da Escola Superior de Agricultura Luiz de Queiroz", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0071-1276&lng=en", "Universidade de São Paulo", "deceased"
"Anais da Sociedade Entomológica do Brasil", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0301-8059&lng=en", "Sociedade Entomológica do Brasil", "deceased"
"Anales de la Asociación Química Argentina", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0365-0375&lng=en", "Asociación Química Argentina", "deceased"
"Anales de Medicina Interna", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0212-7199&lng=en", "Arán Ediciones, S. L.", "deceased"
"Anestesia Analgesia Reanimación", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-1273&lng=en", "Sociedad de Anestesiología del Uruguay", "deceased"
"Annali dell'Istituto Superiore di Sanità", "http://www.scielosp.org/scielo.php?script=sci_serial&pid=0021-2571&lng=en", "Istituto Superiore di Sanità", "suspended"
"Annals of Hepatology", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-2681&lng=en", "Asociación Mexicana de Hepatología, A.C.", "suspended"
"Antropología Social y Cultural del Uruguay", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1510-3846&lng=en", "Universidad de la República - Facultad de Humanidades y Ciencias de la Educación -Instituto de Antropología", "deceased"
"Anuario de investigaciones", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1686&lng=en", "Universidad de Buenos Aires. Facultad de Psicología", "deceased"
"Apuntes: Revista de Estudios sobre Patrimonio Cultural - Journal of Cultural Heritage Studies", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-9763&lng=en", "Pontificia Universidad Javeriana", "suspended"
"Archivos de la Sociedad Española de Oftalmología", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0365-6691&lng=en", "Sociedad Española de Oftalmología", "suspended"
"Archivos de Medicina Interna", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-423X&lng=en", "Sociedad de Medicina Interna del Uruguay", "deceased"
"Archivos de medicina veterinaria", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0301-732X&lng=en", "Facultad de Ciencias Veterinarias, Universidad Austral de Chile", "deceased"
"Archivos de neurociencias (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-4705&lng=en", "Instituto Nacional de Neurología y Neurocirugía", "suspended"
"Archivos Españoles de Urología (Ed. impresa)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0004-0614&lng=en", "INIESTARES, S.A.", "suspended"
"Archivos Venezolanos de Farmacología y Terapéutica", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0264&lng=en", "Sociedad Venezolana de Farmacológia y Farmacológia Clínica y Terapéutica. Escuela de Medicina", "suspended"
"Argos", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-6379&lng=en", "Asociación Argentina de Estudios Clásicos", "deceased"
"Argumentos (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-5795&lng=en", "División de Ciencias Sociales y Humanidades, UAM-Unidad Xochimilco", "suspended"
"Arquitectura y Urbanismo", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5898&lng=en", "Instituto Superior Politécnico José Antonio Echeverría", "suspended"
"Arquivos Brasileiros de Endocrinologia & Metabologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2730&lng=en", "Sociedade Brasileira de Endocrinologia e Metabologia", "deceased"
"Arquivos de Medicina", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0871-3413&lng=en", "ArquiMed - Edições Científicas AEFMUP", "suspended"
"Arquivos Internacionais de Otorrinolaringologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1809-4872&lng=en", "Fundação Otorrinolaringologia", "deceased"
"Avá", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1694&lng=en", "Universidad Nacional de Misiones. Facultad de Humanidades y Ciencias Sociales. Secretaría de Investigación. Programa de Posgrado en Antropología Social.", "deceased"
"Biocell", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0327-9545&lng=en", "Sociedad Latinoamericana de Microscopía Electrónica.; Centro Regional de Investigaciones Científicas y Tecnológicas (Mendoza, Argentina)", "deceased"
"Boletim de formação em psicanálise", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1517-4506&lng=en", "Instituto Sedes Sapientiae. Departamento de Formação em Psicanálise", "deceased"
"Boletim do Instituto Oceanográfico", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0373-5524&lng=en", "Instituto Oceanográfico da Universidade de São Paulo", "deceased"
"Boletim do Instituto Paulista de Oceanografia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-4239&lng=en", "Instituto Oceanográfico da Universidade de São Paulo", "deceased"
"Boletín (Sociedad de Psicología del Uruguay. En línea)", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1688-4337&lng=en", "Sociedad de Psicología del Uruguay", "suspended"
