periódicos, scielo_url, publicador, status
"A Peste : Revista de Psicanálise e Sociedade", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2175-6104&lng=en", "Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo", "current"
"Abanico veterinario", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6132&lng=en", "Sergio Martínez González", "current"
"ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-6720&lng=en", "Colégio Brasileiro de Cirurgia Digestiva", "current"
"Acción Psicológica", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1578-908X&lng=en", "Universidad Nacional de Educación a Distancia (UNED)", "current"
"ACIMED", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1024-9435&lng=en", "Centro Nacional de Información de Ciencias Médicas", "deceased"
"Acta Agronómica", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-2812&lng=en", "Universidad Nacional de Colombia", "current"
"Acta Amazonica", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0044-5967&lng=en", "Instituto Nacional de Pesquisas da Amazônia", "current"
"Acta bioethica", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=1726-569X&lng=en", "Centro Interdisciplinario de Estudios en Bioética, Universidad de Chile", "current"
"Acta Biológica Colombiana", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-548X&lng=en", "Universidad Nacional de Colombia, Facultad de Ciencias, Departamento de Biología", "current"
"Acta bioquímica clínica latinoamericana", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=en", "Federación Bioquímica de la Provincia de Buenos Aires", "current"
"Acta Botanica Brasilica", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3306&lng=en", "Sociedade Botânica do Brasil", "current"
"Acta botánica mexicana", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-7151&lng=en", "Instituto de Ecología A.C., Centro Regional del Bajío", "current"
"Acta Botánica Venezuelica", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0084-5906&lng=en", "Fundación Instituto Botánico de Venezuela Dr. Tobías Lasser", "current"
"Acta Cirurgica Brasileira", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-8650&lng=en", "Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia", "current"
"Acta Colombiana de Psicología", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-9155&lng=en", "Universidad Catolica de Colombia", "current"
"Acta Commercii", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1684-1999&lng=en", "University of Johannesburg", "current"
"Acta Comportamentalia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0188-8145&lng=en", "Universidad de Guadalajara", "current"
"Acta de investigación psicológica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-4832&lng=en", "Universidad Nacional Autónoma de México, Facultad de Psicología", "suspended"
"Acta Limnologica Brasiliensia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-975X&lng=en", "Associação Brasileira de Limnologia", "current"
"Acta literaria", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6848&lng=en", "Universidad de Concepción. Facultad de Humanidades y Arte. Departamento de Español", "current"
"Acta Medica Colombiana", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-2448&lng=en", "Asociacion Colombiana de Medicina Interna", "current"
"Acta Médica Costarricense", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0001-6002&lng=en", "Colegio de Médicos y Cirujanos de Costa Rica", "current"
"Acta médica Grupo Ángeles", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-7203&lng=en", "Grupo Ángeles, Servicios de Salud", "current"
"Acta Médica Peruana", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1728-5917&lng=en", "Colegio Médico del Perú", "current"
"Acta Neurológica Colombiana", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-8748&lng=en", "Asociación Colombiana de Neurología", "current"
"Acta Nova", "http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1683-0789&lng=en", "Universidad Católica Boliviana", "current"
